list,duration,l1,sona,train_f,train_t,context,mat_verb,wh,emb_verb,response,,,,,,,,,,,,,
olive,780,,11383,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1184,,3229,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,3227,,10753,1,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1039,,11098,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,959,EN,11014,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1783,,11275,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,899,EN,10660,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,730,EN,10987,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,mst,predict,where,display,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,mst,predict,where,display,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1772,,11434,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1670,,10261,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,780,,11383,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1721,,10417,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1184,,3229,0,1,mst,predict,who,ask,0,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,3227,,10753,1,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,mst,predict,who,ask,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1039,,11098,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,mst,predict,who,ask,0,,,,,,,,,,,,,
olive,959,EN,11014,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1783,,11275,0,1,mst,predict,who,ask,0,,,,,,,,,,,,,
olive,899,EN,10660,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,730,EN,10987,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,mst,predict,who,ask,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,780,,11383,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1721,,10417,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1184,,3229,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,3227,,10753,1,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1039,,11098,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,959,EN,11014,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,899,EN,10660,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,730,EN,10987,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,mst,predict,who,contact,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,mst,predict,who,contact,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1772,,11434,0,1,mat,know,where,locate,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,780,,11383,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1721,,10417,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1184,,3229,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,3227,,10753,1,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1512,,10945,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1039,,11098,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,959,EN,11014,0,1,mat,know,where,locate,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,899,EN,10660,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,730,EN,10987,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,mat,know,where,locate,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,mat,know,where,locate,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1772,,11434,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1670,,10261,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,780,,11383,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,mat,know,where,display,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,mat,know,where,display,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,3227,,10753,1,1,mat,know,where,display,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1512,,10945,0,1,mat,know,where,display,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,959,EN,11014,0,1,mat,know,where,display,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,899,EN,10660,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,730,EN,10987,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,mat,know,where,display,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,mat,know,where,display,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1772,,11434,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1670,,10261,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,780,,11383,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1721,,10417,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1184,,3229,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,3227,,10753,1,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1512,,10945,0,1,mat,know,who,ask,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,959,EN,11014,0,1,mat,know,who,ask,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,899,EN,10660,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,730,EN,10987,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,mat,know,who,ask,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,mat,know,who,ask,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1772,,11434,0,1,mat,know,who,contact,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,780,,11383,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1721,,10417,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1184,,3229,0,1,mat,know,who,contact,0,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,3227,,10753,1,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1512,,10945,0,1,mat,know,who,contact,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,959,EN,11014,0,1,mat,know,who,contact,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,899,EN,10660,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,730,EN,10987,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,mat,know,who,contact,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,mat,know,who,contact,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,780,,11383,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,maf,know,where,find,1,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,3227,,10753,1,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,885,EN,10063,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,959,EN,11014,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,899,EN,10660,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,730,EN,10987,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,834,EN,10297,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,maf,know,where,find,0,,,,,,,,,,,,,
olive,7933,,10540,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,780,,11383,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,3227,,10753,1,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,885,EN,10063,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,959,EN,11014,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,899,EN,10660,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,730,EN,10987,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,834,EN,10297,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,maf,know,where,hide,0,,,,,,,,,,,,,
olive,7933,,10540,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,maf,know,who,recruit,1,,,,,,,,,,,,,
olive,780,,11383,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,3227,,10753,1,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,maf,know,who,recruit,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,885,EN,10063,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,959,EN,11014,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,899,EN,10660,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,730,EN,10987,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,834,EN,10297,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,maf,know,who,recruit,0,,,,,,,,,,,,,
olive,7933,,10540,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,780,,11383,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,3227,,10753,1,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,885,EN,10063,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,959,EN,11014,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,899,EN,10660,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,730,EN,10987,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,834,EN,10297,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,maf,know,who,call,0,,,,,,,,,,,,,
olive,7933,,10540,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,780,,11383,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,3227,,10753,1,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,885,EN,10063,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,959,EN,11014,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,899,EN,10660,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,730,EN,10987,0,1,matf,know,where,view,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,matf,know,where,view,0,,,,,,,,,,,,,
olive,7933,,10540,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,780,,11383,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,3227,,10753,1,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,885,EN,10063,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,959,EN,11014,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1783,,11275,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,899,EN,10660,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,1222,EN,10933,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1287,EN,11518,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,1120,EN,10570,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,1043,EN,11068,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,730,EN,10987,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,834,EN,10297,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1032,EN,10960,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1608,EN,10078,0,1,matf,know,where,bury,0,,,,,,,,,,,,,
olive,1039,EN,10402,0,1,matf,know,where,bury,1,,,,,,,,,,,,,
olive,7933,,10540,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,1772,,11434,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,1670,,10261,0,1,matf,know,who,interview,1,,,,,,,,,,,,,
olive,780,,11383,0,1,matf,know,who,interview,1,,,,,,,,,,,,,
olive,2475,EN,11005,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,1721,,10417,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,1184,,3229,0,1,matf,know,who,interview,1,,,,,,,,,,,,,
olive,2587,EN,10969,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,3227,,10753,1,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,1028,EN,10921,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,1512,,10945,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,1039,,11098,0,1,matf,know,who,interview,1,,,,,,,,,,,,,
olive,1203,EN,10051,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
olive,885,EN,10063,0,1,matf,know,who,interview,0,,,,,,,,,,,,,
